Word,Frequency
pengaruh,3555
kerja,3321
teliti,2720
variabel,2519
uji,1652
usaha,1494
karyawan,1328
signifikan,1310
hasil,1114
nilai,982
analisis,909
putus,795
sampel,730
beli,723
parsial,700
simultan,669
tuju,647
data,642
metode,641
positif,640
pt,620
regresi,584
kunci,562
tingkat,547
puas,543
t,536
dasar,520
ganda,508
indonesia,505
saham,496
x,495
teknik,481
produk,467
return,423
harga,410
bangkal,403
ambil,396
sampling,391
bimbing,388
dominan,388
linier,380
bank,368
konsumen,365
f,353
milik,347
bursa,342
efek,339
hipotesis,338
ratio,337
kualitas,330
merek,328
daftar,327
kuantitatif,324
responden,310
bawah,298
uang,296
kabupaten,295
oleh,295
mm,294
pegawai,293
madura,288
periode,285
r,283
tbk,274
prestasi,260
populasi,255
motivasi,251
on,246
trunojoyo,245
universitas,242
organisasi,232
bebas,223
faktor,221
mahasiswa,218
dekat,212
studi,211
purposive,211
koefisien,210
dr,210
surabaya,202
hitung,201
to,200
promosi,196
equity,192
layan,190
profitabilitas,189
disiplin,188
pasar,182
camat,181
thitung,173
ukur,172
msi,169
modal,168
rasio,165
ekonomi,161
ikat,160
lingkung,160
cabang,159
asset,157
analis,156
bei,154
roa,152
kompensasi,151
signifikansi,151
sisa,150
mana,150
struktur,149
drs,148
citra,146
asumsi,145
square,143
biaya,141
pimpin,140
temu,138
persero,138
sehat,138
klasik,137
produktivitas,136
jual,133
simpul,132
fakultas,131
bukti,130
perilaku,128
sumenep,128
sektor,128
mampu,127
komitmen,127
bersamasama,125
dana,125
komunikasi,124
y,122
debt,122
manajemen,122
orang,121
value,120
earning,118
kuesioner,117
kompetensi,117
model,117
besar,116
laba,116
kembang,115
fisik,114
determinasi,113
kumpul,113
sosial,113
pamekasan,112
daya,111
langsung,110
budaya,109
independen,107
of,107
roe,107
iklan,106
pribadi,105
bisnis,105
stock,105
didik,104
makan,104
validitas,103
tumbuh,103
sampang,102
instrumen,101
baur,101
deskriptif,99
ec,98
beda,96
langgan,95
share,95
cerdas,95
persepsi,94
reliabilitas,94
total,94
hj,94
loyalitas,93
konflik,93
h,93
terima,92
rumah,92
volume,90
stres,90
split,90
sumber,89
spss,89
pakai,89
marketing,89
ajar,89
salah,88
hubung,88
distribusi,88
negatif,88
gaya,88
alat,87
kantor,87
latih,85
guru,85
motor,85
optimal,85
ttabel,85
laksana,84
non,84
b,84
guna,84
portofolio,84
strategi,83
eva,82
kamal,81
minum,81
investasi,81
jenis,81
industri,81
brand,80
desa,80
emosional,80
percaya,79
beta,79
tentu,79
putar,79
adjusted,78
variable,78
banding,78
capital,77
size,76
linear,76
sikap,75
wawancara,75
individu,74
fhitung,73
risiko,73
kriteria,73
lamongan,72
produksi,72
dra,71
lapor,69
finansial,69
margin,69
otomotif,69
dinas,68
atribut,68
alami,68
current,68
pesan,68
batik,68
der,68
bagi,66
kota,66
akuisisi,66
added,66
loan,65
nasabah,65
masyarakat,64
toko,64
pilih,64
dagang,64
eps,64
dukung,63
saing,63
bangkrut,63
kas,63
s,62
dependen,61
price,61
mandiri,61
dapat,60
butuh,59
ldr,59
random,58
jabat,58
manufaktur,58
net,58
peran,57
turnover,57
alam,57
sesuai,56
skala,56
masuk,56
likuiditas,56
piutang,56
operasional,56
jamin,55
duga,55
media,55
signifikasi,55
program,54
capai,54
sebar,54
bantu,54
tabel,54
empati,54
beban,54
bunga,54
faktorfaktor,53
olah,53
a,53
etos,53
sepeda,53
unjung,53
hutang,53
helm,52
negara,52
aktivitas,52
ud,52
bentuk,51
pustaka,50
tunjuk,50
proses,50
cv,50
barang,50
kondisi,50
syariah,50
tenaga,50
perban,50
sekunder,50
economic,50
sebab,49
gresik,49
profit,49
kreativitas,49
rumus,48
roi,48
suku,48
online,47
honda,47
kelompok,47
dividen,47
proporsi,47
awat,47
assets,47
likert,46
sedia,46
kategori,46
objek,45
aktiva,45
kemas,45
image,45
perintah,45
statistik,44
nyata,44
jasa,44
bijak,44
and,44
rendah,44
koperasi,44
nokia,44
tabung,44
mudji,44
prediksi,44
smartphone,44
harap,43
npl,43
kuat,43
iriani,43
firm,42
leverage,42
finance,42
bambang,42
public,42
empat,42
m,42
sub,42
ismail,42
internal,42
indeks,41
alkirom,41
tanggap,41
investor,41
car,41
tiga,41
semen,41
buyung,40
manusia,40
zscore,40
market,40
aulia,40
wisata,40
kuswinarno,40
rajin,40
nim,40
handphone,39
heru,39
jaya,39
manajerial,39
bersih,39
insentif,39
identifikasi,38
risk,38
daerah,38
karir,38
jangka,38
corporate,38
liput,38
mva,38
terap,37
semangat,37
bri,37
interpersonal,37
anugrahini,37
tahan,37
wildan,37
echsan,37
bumn,37
dimensi,36
utama,36
pln,36
minat,36
wanita,36
fasilitas,36
ftabel,35
tetap,35
tari,35
sakit,35
prasetyo,35
purnamawati,35
gatot,35
investment,35
rp,35
leasing,35
orientasi,35
human,35
informasi,34
untung,34
sadar,34
go,34
judul,34
anam,34
sama,34
cr,34
pranjoto,34
merger,34
inflasi,34
slovin,34
relation,34
observasi,33
perhati,33
the,33
altman,33
ratarata,33
masingmasing,33
asosiasi,33
yamaha,33
nugroho,33
penuh,33
skripsi,33
irawati,33
karakteristik,33
wispandono,33
sidoarjo,33
deposit,33
sistem,32
wilayah,32
makmur,32
konsumsi,32
dampak,32
faidal,32
selamat,32
pindah,32
kredit,32
manfaat,31
stratified,31
kehandalan,31
turun,31
belanja,31
efektivitas,31
hidup,31
kab,31
kpri,31
zulkifli,31
rm,31
sharpe,31
real,31
financial,31
atas,30
intention,30
alternatif,30
rokok,30
sig,30
experiential,30
csr,30
significant,30
estate,30
bidang,29
performance,29
psikologis,29
kelola,29
relationship,29
masalah,29
rentabilitas,29
korelasi,29
makhmud,29
gani,29
farmasi,29
level,29
capm,29
bumi,29
management,29
job,29
akademik,28
baik,28
mix,28
dividend,28
indah,28
jalur,28
spi,28
sidogiri,28
chairul,28
btn,28
mkes,28
probabilitas,28
bina,28
mudah,27
partisipasi,27
muhammad,27
gerak,27
nasional,27
xl,27
ekuitas,27
marinal,27
intelektual,27
employee,27
cipta,26
pos,26
msm,26
yustina,26
tugas,26
as,26
institusional,26
iklim,26
abnormal,26
pegang,26
arus,26
ms,26
kapal,26
governance,26
indoprima,26
satu,25
accidental,25
lokasi,25
jurus,25
adira,25
kartu,25
interest,25
lengkap,25
analisa,25
banyak,25
sdm,24
simple,24
negeri,24
surya,24
lurah,24
swalayan,24
pribanus,24
test,24
sejahtera,24
jalan,24
tanah,24
merah,24
experience,24
kepala,24
gaji,24
sudarsono,24
swasta,24
store,24
semsi,24
dosen,23
performing,23
wantara,23
software,23
keluarga,23
social,23
multi,23
rekrutmen,23
tolak,23
aspek,23
dinamika,23
kait,23
springate,23
tanjung,23
bopo,23
adequacy,23
puskesmas,23
obligasi,23
efisien,22
terampil,22
moch,22
internet,22
for,22
nirma,22
seluler,22
quality,22
bundling,22
international,22
fashion,22
had,22
tempat,22
turn,22
over,22
present,22
apt,22
tinggi,22
mas,22
earnings,22
good,22
libat,22
abadi,22
intervening,22
personal,21
agung,21
maksimal,21
inovasi,21
fitur,21
lihat,21
efisiensi,21
urus,21
tahun,21
ii,21
reksadana,21
putri,21
st,21
mmt,21
standar,21
book,21
etika,21
citizenship,21
behavior,21
supervisi,21
ubah,20
status,20
setia,20
ecer,20
sample,20
chrismardani,20
semm,20
rakyat,20
satisfaction,20
komponen,20
burneh,20
blega,20
gigi,20
solvabilitas,20
sense,20
feel,20
relate,20
rencana,20
taman,20
karya,20
property,20
tambang,20
tim,20
growth,20
organizational,20
diri,20
pbv,20
laku,19
kuisioner,19
pangsa,19
kurriwati,19
area,19
lq,19
quick,19
chicken,19
garam,19
air,19
nur,19
fathor,19
tehnik,19
bahas,19
persentase,19
dwi,19
usia,19
tanggung,19
organisasional,19
think,19
act,19
tato,19
nila,19
jakarta,19
kramat,19
rotasi,19
produsen,19
interior,19
kerjasama,19
pdam,19
bkm,19
mayor,19
bidikmisi,19
laut,18
tahu,18
suasana,18
versi,18
aktif,18
dealer,18
jadi,18
resiko,18
badan,18
kuasa,18
desain,18
anggota,18
purnomo,18
customer,18
ayu,18
elektronik,18
sederhana,18
giat,18
kesiap,18
kereta,18
pricing,18
bojonegoro,18
tani,18
group,18
psikologi,18
kebun,18
mediasi,18
komisaris,18
audit,18
ikan,17
efektif,17
aman,17
televisi,17
nurita,17
andriani,17
ir,17
npm,17
timbal,17
si,17
arah,17
effect,17
awas,17
pantai,17
inovatif,17
mochammad,17
normalitas,17
api,17
imbang,17
eksternal,17
mustika,17
nurul,17
assurance,17
tangible,17
sales,17
dok,17
ocb,17
peringkat,17
murni,17
survei,16
sipil,16
primer,16
jawa,16
payout,16
self,16
suyono,16
isi,16
paired,16
restoran,16
instrument,16
telang,16
bmt,16
ugt,16
publisitas,16
pasta,16
latar,16
tunjang,16
fungsional,16
anggar,16
tulis,16
evaluasi,16
stress,16
dimoderasi,16
reksa,16
variabelvariabel,15
unggul,15
timur,15
